	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
21904	41	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	JCommTable6.R0C0	11	AS JCommTable6.R0C0	5	Single-KC	41	0.5762688287177136
21905	42	Revised BKT Controller(1)	AS 2_3_plus_4_3	2	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	8	AS done	2	Single-KC	42	0.684345275736098
21906	43	Revised BKT Controller(1)	M 1_6_times_1_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	JCommTable6.R0C0	12	M  JCommTable6.R0C0	5	Single-KC	43	0.5029326768133578
21907	44	Revised BKT Controller(1)	M 1_6_times_1_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R1C0	11	M  JCommTable6.R1C0	4	Single-KC	44	0.5435282120505509
21908	45	Revised BKT Controller(1)	M 1_6_times_1_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	done	9	M  done	6	Single-KC	45	0.863675864472038
21909	46	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	13	AD JCommTable6.R0C0	3	Single-KC	46	0.1687888491580622
21910	47	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R1C0	12	AD JCommTable6.R1C0	5	Single-KC	47	0.19782250648144215
21911	48	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable8.R0C0	4	AD JCommTable8.R0C0	2	Single-KC	48	0.3799600637288176
21912	49	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	14	AD JCommTable6.R0C0	4	Single-KC	49	0.1876818645895589
21913	50	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable4.R0C0	5	AD JCommTable4.R0C0	2	Single-KC	50	0.24714742393491068
21914	51	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable5.R0C0	3	AD JCommTable5.R0C0	2	Single-KC	51	0.21007132360508352
21915	52	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable4.R1C0	3	AD JCommTable4.R1C0	2	Single-KC	52	0.24517540967732973
21916	53	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable5.R1C0	3	AD JCommTable5.R1C0	2	Single-KC	53	0.2800165827277859
21917	54	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	15	AD JCommTable6.R0C0	5	Single-KC	54	0.20816003279664622
21918	55	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R1C0	13	AD JCommTable6.R1C0	6	Single-KC	55	0.21836783309983396
21919	56	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable6.R0C0	16	AD JCommTable6.R0C0	6	Single-KC	56	0.23023929035460564
21920	57	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	JCommTable4.R0C0	6	AD JCommTable4.R0C0	3	Single-KC	57	0.300778160757173
21921	58	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable5.R0C0	4	AD JCommTable5.R0C0	3	Single-KC	58	0.24701781272148357
21922	59	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	JCommTable6.R1C0	14	AD JCommTable6.R1C0	7	Single-KC	59	0.2404074621175949
21923	60	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	JCommTable6.R0C0	17	AD JCommTable6.R0C0	7	Single-KC	60	0.25390951171289167
21924	61	Revised BKT Controller(1)	AD 1_2_plus_2_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	done	10	AD done	2	Single-KC	61	0.3156272073651827
21925	62	Revised BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	JCommTable5.R1C0	4	AS JCommTable5.R1C0	1	Single-KC	62	1.0779275605084903e-08
