	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
5407	40	BKT Controller_human(1)	AD 5_4_plus_2_5	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	41	JCommTable4.R0C0	5	AD JCommTable4.R0C0	4	0.501696648367088
5408	41	BKT Controller_human(1)	AD 5_4_plus_2_5	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	42	JCommTable4.R1C0	5	AD JCommTable4.R1C0	4	0.655234848399937
5409	42	BKT Controller_human(1)	AD 5_4_plus_2_5	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	correct	1	1	0	Single-KC	43	JCommTable5.R1C0	6	AD JCommTable5.R1C0	4	0.6975496135082095
5410	43	BKT Controller_human(1)	AD 5_4_plus_2_5	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	0	Single-KC	44	JCommTable6.R0C0	7	AD JCommTable6.R0C0	4	0.53436268865917
5411	44	BKT Controller_human(1)	AD 5_4_plus_2_5	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	45	JCommTable5.R0C0	4	AD JCommTable5.R0C0	4	0.386586319308806
5412	45	BKT Controller_human(1)	AD 5_4_plus_2_5	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	46	done	7	AD done	4	0.8417786841841969
5413	46	BKT Controller_human(1)	AD 5_4_plus_2_5	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	47	JCommTable6.R1C0	7	AD JCommTable6.R1C0	4	0.4391881392236499
5414	47	BKT Controller_human(1)	M 4_10_times_10_2	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	3	1	1	Single-KC	48	JCommTable6.R0C0	8	M  JCommTable6.R0C0	4	0.5976940017772261
5415	48	BKT Controller_human(1)	M 4_10_times_10_2	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	Single-KC	49	JCommTable6.R1C0	8	M  JCommTable6.R1C0	4	0.6575975756540721
5416	49	BKT Controller_human(1)	M 4_10_times_10_2	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	50	done	8	M  done	4	0.8949508959904466
