	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
39	39	Default BKT Controller(1)	AS 10_6_plus_7_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R0C0	8	Single-KC	40	AS JCommTable6.R0C0	4	0.7293869895103742
40	40	Default BKT Controller(1)	AS 10_6_plus_7_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R1C0	8	Single-KC	41	AS JCommTable6.R1C0	4	0.7096752234537393
41	41	Default BKT Controller(1)	AS 10_6_plus_7_6	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	done	8	Single-KC	42	AS done	4	0.940839609956451
42	42	Default BKT Controller(1)	M 9_6_times_3_5	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	1	1	0	JCommTable6.R0C0	9	Single-KC	43	M  JCommTable6.R0C0	2	0.41414004909058927
43	43	Default BKT Controller(1)	M 9_6_times_3_5	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable6.R1C0	9	Single-KC	44	M  JCommTable6.R1C0	2	0.5604546204050581
44	44	Default BKT Controller(1)	M 9_6_times_3_5	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	done	9	Single-KC	45	M  done	2	0.626115847933121
45	45	Default BKT Controller(1)	AD 3_3_plus_7_8	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	JCommTable6.R1C0	10	Single-KC	46	AD JCommTable6.R1C0	4	0.4803073127910677
46	46	Default BKT Controller(1)	AD 3_3_plus_7_8	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	JCommTable6.R0C0	10	Single-KC	47	AD JCommTable6.R0C0	4	0.5541318169395588
47	47	Default BKT Controller(1)	AD 3_3_plus_7_8	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	JCommTable8.R0C0	6	Single-KC	48	AD JCommTable8.R0C0	4	0.7867693119987338
48	48	Default BKT Controller(1)	AD 3_3_plus_7_8	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable4.R1C0	4	Single-KC	49	AD JCommTable4.R1C0	4	0.6895682358502112
49	49	Default BKT Controller(1)	AD 3_3_plus_7_8	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	1	1	0	JCommTable4.R0C0	5	Single-KC	50	AD JCommTable4.R0C0	4	0.5421702090766658
50	50	Default BKT Controller(1)	AD 3_3_plus_7_8	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	1	1	0	JCommTable5.R1C0	4	Single-KC	51	AD JCommTable5.R1C0	4	0.6880428623388627
51	51	Default BKT Controller(1)	AD 3_3_plus_7_8	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable5.R0C0	4	Single-KC	52	AD JCommTable5.R0C0	4	0.4144128325959266
52	52	Default BKT Controller(1)	AD 3_3_plus_7_8	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	done	10	Single-KC	53	AD done	4	0.8443580019629994
53	53	Default BKT Controller(1)	AD 10_2_plus_1_3	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable8.R0C0	7	Single-KC	54	AD JCommTable8.R0C0	5	0.7919186184806845
54	54	Default BKT Controller(1)	AD 10_2_plus_1_3	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable4.R1C0	5	Single-KC	55	AD JCommTable4.R1C0	5	0.7807889012294212
55	55	Default BKT Controller(1)	AD 10_2_plus_1_3	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	JCommTable6.R0C0	11	Single-KC	56	AD JCommTable6.R0C0	5	0.5664129811102402
56	56	Default BKT Controller(1)	AD 10_2_plus_1_3	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	JCommTable5.R1C0	5	Single-KC	57	AD JCommTable5.R1C0	5	0.821122100558838
57	57	Default BKT Controller(1)	AD 10_2_plus_1_3	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable4.R0C0	6	Single-KC	58	AD JCommTable4.R0C0	5	0.6371318242931903
58	58	Default BKT Controller(1)	AD 10_2_plus_1_3	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable5.R0C0	5	Single-KC	59	AD JCommTable5.R0C0	5	0.5080278135646649
59	59	Default BKT Controller(1)	AD 10_2_plus_1_3	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R1C0	11	Single-KC	60	AD JCommTable6.R1C0	5	0.4908320687313859
60	60	Default BKT Controller(1)	AD 10_2_plus_1_3	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	11	Single-KC	61	AD done	5	0.9216527758092702
61	61	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	3	1	0	JCommTable6.R1C0	12	Single-KC	62	AD JCommTable6.R1C0	6	0.5013649579741616
62	62	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	JCommTable4.R0C0	7	Single-KC	63	AD JCommTable4.R0C0	6	0.7224789334401523
63	63	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable8.R0C0	8	Single-KC	64	AD JCommTable8.R0C0	6	0.796975662823924
64	64	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	JCommTable4.R1C0	6	Single-KC	65	AD JCommTable4.R1C0	6	0.8509964374004553
65	65	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable5.R1C0	6	Single-KC	66	AD JCommTable5.R1C0	6	0.905248465062611
66	66	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	1	JCommTable5.R0C0	6	Single-KC	67	AD JCommTable5.R0C0	6	0.6010831838099333
67	67	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	12	Single-KC	68	AD JCommTable6.R0C0	6	0.5786131093855228
68	68	Default BKT Controller(1)	AD 10_6_plus_4_8	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	12	Single-KC	69	AD done	6	0.962276476286902
69	69	Default BKT Controller(1)	M 5_3_times_8_10	2	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	13	Single-KC	70	M  JCommTable6.R0C0	3	0.5050802655521288
70	70	Default BKT Controller(1)	M 5_3_times_8_10	2	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R1C0	13	Single-KC	71	M  JCommTable6.R1C0	3	0.6159467332140479
71	71	Default BKT Controller(1)	M 5_3_times_8_10	2	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	13	Single-KC	72	M  done	3	0.8028211896872132
72	72	Default BKT Controller(1)	AS 5_4_plus_7_4	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R0C0	14	Single-KC	73	AS JCommTable6.R0C0	5	0.7426899321153403
73	73	Default BKT Controller(1)	AS 5_4_plus_7_4	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	JCommTable6.R1C0	14	Single-KC	74	AS JCommTable6.R1C0	5	0.7153421189151512
74	74	Default BKT Controller(1)	AS 5_4_plus_7_4	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	done	14	Single-KC	75	AS done	5	0.9749177470925611
75	75	Default BKT Controller(1)	M 2_4_times_7_1	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05		1/1/1970 0:05	incorrect	1	0	0	JCommTable8.R0C0	9	Single-KC	76	M  JCommTable8.R0C0	2	0.0
76	76	Default BKT Controller(1)	M 2_4_times_7_1	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	1	1	0	JCommTable6.R1C0	15	Single-KC	77	M  JCommTable6.R1C0	4	0.6685759094554624
77	77	Default BKT Controller(1)	M 2_4_times_7_1	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R0C0	15	Single-KC	78	M  JCommTable6.R0C0	4	0.5956855699082018
78	78	Default BKT Controller(1)	M 2_4_times_7_1	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	done	15	Single-KC	79	M  done	4	0.9082500376843768
79	79	Default BKT Controller(1)	AS 9_1_plus_9_1	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	1	1	0	JCommTable6.R0C0	16	Single-KC	80	AS JCommTable6.R0C0	6	0.7555580829647195
80	80	Default BKT Controller(1)	AS 9_1_plus_9_1	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R1C0	16	Single-KC	81	AS JCommTable6.R1C0	6	0.7209418965397677
81	81	Default BKT Controller(1)	AS 9_1_plus_9_1	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	done	16	Single-KC	82	AS done	6	0.9895832074739218
82	82	Default BKT Controller(1)	AS 2_2_plus_8_2	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R1C0	17	Single-KC	83	AS JCommTable6.R1C0	7	0.7264736370709295
83	83	Default BKT Controller(1)	AS 2_2_plus_8_2	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R0C0	17	Single-KC	84	AS JCommTable6.R0C0	7	0.7679837356885872
84	84	Default BKT Controller(1)	AS 2_2_plus_8_2	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	done	17	Single-KC	85	AS done	7	0.9957115694464469
85	85	Default BKT Controller(1)	AS 5_8_plus_2_8	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R1C0	18	Single-KC	86	AS JCommTable6.R1C0	8	0.73193649488041
86	86	Default BKT Controller(1)	AS 5_8_plus_2_8	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R0C0	18	Single-KC	87	AS JCommTable6.R0C0	8	0.7799617056117103
87	87	Default BKT Controller(1)	AS 5_8_plus_2_8	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	done	18	Single-KC	88	AS done	8	0.9982409291508854
88	88	Default BKT Controller(1)	M 9_6_times_3_5	2	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	1	1	0	JCommTable6.R1C0	19	Single-KC	89	M  JCommTable6.R1C0	5	0.7173030751990052
89	89	Default BKT Controller(1)	M 9_6_times_3_5	2	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R0C0	19	Single-KC	90	M  JCommTable6.R0C0	5	0.6802059498700098
90	90	Default BKT Controller(1)	M 9_6_times_3_5	2	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	done	19	Single-KC	91	M  done	5	0.9601085465271456
91	91	Default BKT Controller(1)	AS 5_3_plus_9_3	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R0C0	20	Single-KC	92	AS JCommTable6.R0C0	9	0.7914891960027107
92	92	Default BKT Controller(1)	AS 5_3_plus_9_3	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable6.R1C0	20	Single-KC	93	AS JCommTable6.R1C0	9	0.7373296973188189
93	93	Default BKT Controller(1)	AS 5_3_plus_9_3	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	done	20	Single-KC	94	AS done	9	0.999279526387091
94	94	Default BKT Controller(1)	AD 2_5_plus_3_4	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:06	1/1/1970 0:06	incorrect	2	1	0	JCommTable6.R1C0	21	Single-KC	95	AD JCommTable6.R1C0	7	0.5118966359005562
95	95	Default BKT Controller(1)	AD 2_5_plus_3_4	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	JCommTable8.R0C0	10	Single-KC	96	AD JCommTable8.R0C0	7	0.8019405427655043
96	96	Default BKT Controller(1)	AD 2_5_plus_3_4	1	JCommTable4.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	JCommTable4.R1C0	7	Single-KC	97	AD JCommTable4.R1C0	7	0.9015534721687077
97	97	Default BKT Controller(1)	AD 2_5_plus_3_4	1	JCommTable5.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	JCommTable5.R1C0	7	Single-KC	98	AD JCommTable5.R1C0	7	0.9521173216190018
