	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
28	28	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	AD JCommTable5.R1C0	4	JCommTable5.R1C0	4	Single-KC	29	0.6804569790692762
29	29	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	1	1	0	AD JCommTable5.R0C0	4	JCommTable5.R0C0	4	Single-KC	30	0.42778754388821816
30	30	Default BKT Controller(1)	AD 10_6_plus_4_8	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable6.R1C0	4	JCommTable6.R1C0	4	Single-KC	31	0.48319970984467514
31	31	Default BKT Controller(1)	AD 10_6_plus_4_8	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD done	4	done	4	Single-KC	32	0.6478602585772203
32	32	Default BKT Controller(1)	AD 1_4_plus_6_9	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable8.R0C0	5	JCommTable8.R0C0	5	Single-KC	33	0.8426051411383761
33	33	Default BKT Controller(1)	AD 1_4_plus_6_9	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R1C0	5	JCommTable4.R1C0	5	Single-KC	34	0.7818163204027804
34	34	Default BKT Controller(1)	AD 1_4_plus_6_9	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R0C0	5	JCommTable4.R0C0	5	Single-KC	35	0.6334706848785872
35	35	Default BKT Controller(1)	AD 1_4_plus_6_9	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R1C0	5	JCommTable5.R1C0	5	Single-KC	36	0.8174359062588172
36	36	Default BKT Controller(1)	AD 1_4_plus_6_9	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	AD JCommTable6.R1C0	5	JCommTable6.R1C0	5	Single-KC	37	0.4928337324663313
37	37	Default BKT Controller(1)	AD 1_4_plus_6_9	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R0C0	5	JCommTable5.R0C0	5	Single-KC	38	0.5243633754144815
38	38	Default BKT Controller(1)	AD 1_4_plus_6_9	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable6.R0C0	5	JCommTable6.R0C0	5	Single-KC	39	0.5577671563865247
39	39	Default BKT Controller(1)	AD 1_4_plus_6_9	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD done	5	done	5	Single-KC	40	0.8152651225855089
40	40	Default BKT Controller(1)	M 1_4_times_5_8	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	M  JCommTable8.R0C0	1	JCommTable8.R0C0	6	Single-KC	41	1.9341965647025656e-08
41	41	Default BKT Controller(1)	M 1_4_times_5_8	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	M  JCommTable6.R0C0	1	JCommTable6.R0C0	6	Single-KC	42	0.3031612869553528
42	42	Default BKT Controller(1)	M 1_4_times_5_8	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	1	1	1	M  JCommTable6.R1C0	1	JCommTable6.R1C0	6	Single-KC	43	0.495543756527637
43	43	Default BKT Controller(1)	M 1_4_times_5_8	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	M  done	1	done	6	Single-KC	44	0.5450095819200873
44	44	Default BKT Controller(1)	M 8_1_times_5_7	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	M  JCommTable6.R0C0	2	JCommTable6.R0C0	7	Single-KC	45	0.3855913077737189
45	45	Default BKT Controller(1)	M 8_1_times_5_7	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	M  JCommTable6.R1C0	2	JCommTable6.R1C0	7	Single-KC	46	0.5456166722355312
46	46	Default BKT Controller(1)	M 8_1_times_5_7	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	M  done	2	done	7	Single-KC	47	0.7326547580275802
47	47	Default BKT Controller(1)	AS 10_8_plus_9_8	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	AS JCommTable8.R0C0	1	JCommTable8.R0C0	7	Single-KC	48	3.7875532087732156e-23
48	48	Default BKT Controller(1)	AS 10_8_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	AS JCommTable6.R1C0	1	JCommTable6.R1C0	8	Single-KC	49	0.6248243917819121
49	49	Default BKT Controller(1)	AS 10_8_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	3	1	1	AS JCommTable6.R0C0	1	JCommTable6.R0C0	8	Single-KC	50	0.6185899643738769
50	50	Default BKT Controller(1)	AS 10_8_plus_9_8	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	AS done	1	done	8	Single-KC	51	0.6885181720559178
51	51	Default BKT Controller(1)	M 4_4_times_8_10	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	1	1	0	M  JCommTable6.R1C0	3	JCommTable6.R1C0	9	Single-KC	52	0.5947836059201952
52	52	Default BKT Controller(1)	M 4_4_times_8_10	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	M  JCommTable6.R0C0	3	JCommTable6.R0C0	9	Single-KC	53	0.4751515871722252
53	53	Default BKT Controller(1)	M 4_4_times_8_10	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	M  done	3	done	9	Single-KC	54	0.862444157475442
54	54	Default BKT Controller(1)	AS 6_4_plus_5_4	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	AS JCommTable8.R0C0	2	JCommTable8.R0C0	8	Single-KC	55	3.7875532087732156e-23
