	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
31	32	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	2	0	0	JCommTable6.R1C0	8	Single-KC	32	AD JCommTable6.R1C0	4	0.2422129199310499
32	33	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable4.R0C0	3	Single-KC	33	AD JCommTable4.R0C0	3	0.3252177487417845
33	34	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R1C0	9	Single-KC	34	AD JCommTable6.R1C0	5	0.2511233057636522
34	35	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable5.R0C0	3	Single-KC	35	AD JCommTable5.R0C0	3	0.28513722465804603
35	36	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R1C0	10	Single-KC	36	AD JCommTable6.R1C0	6	0.2602489077793377
36	37	BKT Controller(1)	AD 10_7_plus_8_9	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	JCommTable6.R0C0	10	Single-KC	37	AD JCommTable6.R0C0	6	0.2997754107271732
37	38	BKT Controller(1)	AD 10_7_plus_8_9	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	done	6	Single-KC	38	AD done	2	0.33484161928259043
38	39	BKT Controller(1)	AS 7_5_plus_1_5	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable8.R0C0	3	Single-KC	39	AS JCommTable8.R0C0	1	4.077691079756202e-62
39	40	BKT Controller(1)	AS 7_5_plus_1_5	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable4.R1C0	3	Single-KC	40	AS JCommTable4.R1C0	1	7.936950901802985e-17
40	41	BKT Controller(1)	AS 7_5_plus_1_5	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	JCommTable6.R0C0	11	Single-KC	41	AS JCommTable6.R0C0	2	0.4572992260198005
